state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
NC,11000.0,41.0,451000.0,99000.0,4.34,1957000.0,2017
ND,455000.0,74.0,33670000.0,4377000.0,1.89,63636000.0,2017
OH,15000.0,73.0,1095000.0,657000.0,3.12,3416000.0,2017
OR,78000.0,40.0,3120000.0,998000.0,1.89,5897000.0,2017
PA,16000.0,46.0,736000.0,177000.0,3.4,2502000.0,2017
SC,16000.0,34.0,544000.0,27000.0,3.06,1665000.0,2017
SD,255000.0,57.0,14535000.0,6541000.0,1.91,27762000.0,2017
TN,7000.0,41.0,287000.0,75000.0,4.68,1343000.0,2017
TX,120000.0,66.0,7920000.0,2297000.0,2.11,16711000.0,2017
UT,27000.0,31.0,837000.0,67000.0,2.06,1724000.0,2017
VT,7000.0,45.0,315000.0,120000.0,4.17,1314000.0,2017
VA,5000.0,35.0,175000.0,39000.0,5.73,1003000.0,2017
WA,77000.0,45.0,3465000.0,1594000.0,2.25,7796000.0,2017
WV,6000.0,40.0,240000.0,50000.0,3.85,924000.0,2017
WI,53000.0,56.0,2968000.0,683000.0,2.77,8221000.0,2017
WY,39000.0,53.0,2067000.0,186000.0,1.59,3287000.0,2017
